"id","code","local_code","name","continent","iso_country","wikipedia_link","keywords"
304617,"MD-ED","ED","Edineţ District","EU","MD","https://en.wikipedia.org/wiki/Edineţ_District",
306464,"MD-FL","FL","Făleşti District","EU","MD","https://en.wikipedia.org/wiki/Făleşti_District",
306465,"MD-FR","FR","Floreşti District","EU","MD","https://en.wikipedia.org/wiki/Floreşti_District",
353956,"MD-GA","GA","Gagauzia (autonomous territorial unit)","EU","MD","https://en.wikipedia.org/wiki/Gagauzia",
306466,"MD-GL","GL","Glodeni District","EU","MD","https://en.wikipedia.org/wiki/Glodeni_District",
306467,"MD-HN","HN","Hînceşti District","EU","MD","https://en.wikipedia.org/wiki/Hînceşti_District",
306468,"MD-IL","IL","Ialoveni District","EU","MD","https://en.wikipedia.org/wiki/Ialoveni_District",
306469,"MD-LV","LV","Leova District","EU","MD","https://en.wikipedia.org/wiki/Leova_District",
306470,"MD-NS","NS","Nisporeni District","EU","MD","https://en.wikipedia.org/wiki/Nisporeni_District",
306471,"MD-OC","OC","Ocniţa District","EU","MD","https://en.wikipedia.org/wiki/Ocniţa_District",
304618,"MD-OR","OR","Orhei District","EU","MD","https://en.wikipedia.org/wiki/Orhei_District",
306473,"MD-RS","RS","Rîşcani District","EU","MD","https://en.wikipedia.org/wiki/Rîşcani_District",
